id,name
stop_area:OCE:SA:87110288,
stop_area:OCE:SA:87279166,
stop_area:OCE:SA:87286740,
stop_area:OCE:SA:87286781,
stop_area:OCE:SA:87286807,
stop_area:OCE:SA:87287219,
stop_area:OCE:SA:87287235,
stop_area:OCE:SA:87287243,
stop_area:OCE:SA:87644112,
stop_area:OCE:SA:87689737,
stop_area:OCE:SA:87699298,
stop_area:OCE:SA:00,.
stop_area:OCE:SA:80153452,Aachen/Aix la Chapelle
stop_area:OCE:SA:87313759,Abancourt
stop_area:OCE:SA:87481614,Abbaretz
stop_area:OCE:SA:87317362,Abbeville
stop_area:OCE:SA:87545269,Ablon
stop_area:OCE:SA:87191403,Aboncourt
stop_area:OCE:SA:87721944,Abrest Mairie
stop_area:OCE:SA:87677252,Accolay-Le-Pont
stop_area:OCE:SA:87386052,Achères-Grand-Cormier
stop_area:OCE:SA:87381657,Achères-Ville
stop_area:OCE:SA:87342048,Achiet
stop_area:OCE:SA:87658856,Adamswiller Lot. forêt.
stop_area:OCE:SA:87658922,Adamswiller-(Mairie).
